"","Date","Time_LST_LDT","Predicted_m","Preliminary_m","Verified_m","Hour","SampleDate"
"131","8/8/18","10:00",1.094,"-",1.201,28,"B"
"132","8/8/18","11:00",0.939,"-",1.082,29,"B"
"133","8/8/18","12:00",0.777,"-",0.918,30,"B"
"134","8/8/18","13:00",0.681,"-",0.794,31,"B"
"135","8/8/18","14:00",0.699,"-",0.785,32,"B"
"136","8/8/18","15:00",0.847,"-",0.964,33,"B"
"137","8/8/18","16:00",1.111,"-",1.26,34,"B"
"138","8/8/18","17:00",1.443,"-",1.539,35,"B"
"139","8/8/18","18:00",1.758,"-",1.831,36,"B"
"175","8/10/18","6:00",0.125,"-",0.236,0,"C"
"176","8/10/18","7:00",0.536,"-",0.603,1,"C"
"177","8/10/18","8:00",0.932,"-",0.992,2,"C"
"178","8/10/18","9:00",1.224,"-",1.257,3,"C"
"179","8/10/18","10:00",1.348,"-",1.424,4,"C"
"180","8/10/18","11:00",1.291,"-",1.36,5,"C"
"181","8/10/18","12:00",1.101,"-",1.169,6,"C"
"182","8/10/18","13:00",0.857,"-",1.013,7,"C"
"183","8/10/18","14:00",0.641,"-",0.772,8,"C"
"184","8/10/18","15:00",0.539,"-",0.699,9,"C"
"185","8/10/18","16:00",0.599,"-",0.724,10,"C"
"186","8/10/18","17:00",0.825,"-",0.962,11,"C"
"187","8/10/18","18:00",1.181,"-",1.308,12,"C"
"188","8/10/18","19:00",1.584,"-",1.688,13,"C"
"189","8/10/18","20:00",1.932,"-",2.001,14,"C"
"190","8/10/18","21:00",2.129,"-",2.232,15,"C"
"191","8/10/18","22:00",2.109,"-",2.185,16,"C"
"192","8/10/18","23:00",1.85,"-",1.914,17,"C"
"193","8/11/18","0:00",1.4,"-",1.442,18,"C"
"194","8/11/18","1:00",0.853,"-",0.955,19,"C"
"195","8/11/18","2:00",0.312,"-",0.401,20,"C"
"196","8/11/18","3:00",-0.117,"-",-0.047,21,"C"
"197","8/11/18","4:00",-0.348,"-",-0.312,22,"C"
"198","8/11/18","5:00",-0.346,"-",-0.265,23,"C"
"199","8/11/18","6:00",-0.126,"-",-0.057,24,"C"
"200","8/11/18","7:00",0.254,"-",0.314,25,"C"
"201","8/11/18","8:00",0.695,"-",0.753,26,"C"
"202","8/11/18","9:00",1.09,"-",1.171,27,"C"
"203","8/11/18","10:00",1.349,"-",1.419,28,"C"
"204","8/11/18","11:00",1.417,"-",1.48,29,"C"
"205","8/11/18","12:00",1.301,"-",1.404,30,"C"
"206","8/11/18","13:00",1.064,"-",1.17,31,"C"
"207","8/11/18","14:00",0.788,"-",0.9,32,"C"
"208","8/11/18","15:00",0.563,"-",0.672,33,"C"
"209","8/11/18","16:00",0.475,"-",0.629,34,"C"
"210","8/11/18","17:00",0.565,"-",0.703,35,"C"
"211","8/11/18","18:00",0.822,"-",0.997,36,"C"
