time,Collection_Date,Time,Depth,meanNH4,Temp,chl_a,tide_pub,Hours,Trial
8/11/18 14:00,8/11/18,14:00,3,1.065,20.26,1.5644,0.9,32,3
8/11/18 14:00,8/11/18,14:00,5,1.18,19.7865,1.657,0.9,32,3
8/11/18 18:00,8/11/18,18:00,1,0.98,21.371,2.4948,0.997,36,3
8/11/18 18:00,8/11/18,18:00,3,0.985,21.264,1.9393,0.997,36,3
8/11/18 18:00,8/11/18,18:00,5,0.915,20.8845,2.1661,0.997,36,3
8/7/18 6:00,8/7/18,6:00,1,1.025,20.81,0.8234,1.004,0,2
8/7/18 6:00,8/7/18,6:00,3,1.015,19.9125,0.7537,1.004,0,2
8/7/18 6:00,8/7/18,6:00,5,0.93,19.1045,0.7285,1.004,0,2
8/7/18 10:00,8/7/18,10:00,1,1.57,21.416,0.5772,1.072,4,2
8/7/18 10:00,8/7/18,10:00,3,1.25,20.5535,0.7285,1.072,4,2
8/7/18 10:00,8/7/18,10:00,5,0.955,19.1855,0.9718,1.072,4,2
8/7/18 14:00,8/7/18,14:00,1,0.05,22.173,1.2018,1.025,8,2
8/7/18 14:00,8/7/18,14:00,3,0.05,22.0655,1.2172,1.025,8,2
8/7/18 14:00,8/7/18,14:00,5,0.05,20.5755,1.2021,1.025,8,2
8/7/18 18:00,8/7/18,18:00,1,0.555,22.804,0.8976,1.961,12,2
8/7/18 18:00,8/7/18,18:00,3,0.31,21.632,NA,1.961,12,2
8/7/18 18:00,8/7/18,18:00,5,0.165,21.2185,1.095,1.961,12,2
8/7/18 22:00,8/7/18,22:00,1,0.08,22.18,1.0415,1.273,16,2
8/7/18 22:00,8/7/18,22:00,3,0.12,20.535,1.1024,1.273,16,2
8/7/18 22:00,8/7/18,22:00,5,0.175,20.1655,0.9718,1.273,16,2
8/8/18 2:00,8/8/18,2:00,1,0.555,21.509,1.2266,-0.009,20,2
8/8/18 2:00,8/8/18,2:00,3,0.48,20.2525,1.2219,-0.009,20,2
8/8/18 2:00,8/8/18,2:00,5,0.935,18.59075,1.1571,-0.009,20,2
8/8/18 6:00,8/8/18,6:00,1,0.175,21.276,1.8468,0.786,24,2
8/8/18 6:00,8/8/18,6:00,3,0.46,21.2685,1.4811,0.786,24,2
8/8/18 6:00,8/8/18,6:00,5,0.345,20.436,1.9532,0.786,24,2
8/8/18 10:00,8/8/18,10:00,1,0.17,21.6655,1.7866,1.201,28,2
8/8/18 10:00,8/8/18,10:00,3,0.105,21.228,1.5876,1.201,28,2
8/8/18 10:00,8/8/18,10:00,5,0.12,19.797,1.6107,1.201,28,2
8/8/18 14:00,8/8/18,14:00,1,0.08,22.71333,1.097,0.785,32,2
8/8/18 14:00,8/8/18,14:00,3,0.08,22.6255,0.972,0.785,32,2
8/8/18 14:00,8/8/18,14:00,5,0.15,20.4375,1.333,0.785,32,2
8/8/18 18:00,8/8/18,18:00,1,0.08,22.556,0.8007,1.831,36,2
8/8/18 18:00,8/8/18,18:00,3,0.08,22.486,1.1479,1.831,36,2
8/8/18 18:00,8/8/18,18:00,5,0.08,22.062,1.0136,1.831,36,2
